Zone ID,Station ID,Positive Percentage_Result,Best Station ID,Positive Percentage_Best
1,1,45.98765432098765,5,47.53086419753087
1,2,45.18518518518518,5,47.53086419753087
1,3,45.617283950617285,5,47.53086419753087
1,4,44.69135802469136,5,47.53086419753087
1,5,47.53086419753087,5,47.53086419753087
1,6,45.0,5,47.53086419753087
1,7,45.18518518518518,5,47.53086419753087
1,8,43.333333333333336,5,47.53086419753087
1,9,44.19753086419753,5,47.53086419753087
1,10,45.49382716049383,5,47.53086419753087
1,11,45.123456790123456,5,47.53086419753087
2,1,45.80246913580247,1,45.80246913580247
2,2,43.20987654320987,1,45.80246913580247
2,3,44.32098765432099,1,45.80246913580247
2,4,42.592592592592595,1,45.80246913580247
2,5,45.80246913580247,1,45.80246913580247
2,6,43.45679012345679,1,45.80246913580247
2,7,45.123456790123456,1,45.80246913580247
2,8,44.074074074074076,1,45.80246913580247
2,9,42.901234567901234,1,45.80246913580247
2,10,44.50617283950618,1,45.80246913580247
2,11,42.839506172839506,1,45.80246913580247
3,1,47.46913580246914,1,47.46913580246914
3,2,45.123456790123456,1,47.46913580246914
3,3,46.913580246913575,1,47.46913580246914
3,4,44.50617283950618,1,47.46913580246914
3,5,47.22222222222222,1,47.46913580246914
3,6,45.925925925925924,1,47.46913580246914
3,7,44.75308641975309,1,47.46913580246914
3,8,45.925925925925924,1,47.46913580246914
3,9,47.22222222222222,1,47.46913580246914
3,10,46.543209876543216,1,47.46913580246914
3,11,46.85185185185185,1,47.46913580246914
4,1,44.567901234567906,5,46.111111111111114
4,2,44.074074074074076,5,46.111111111111114
4,3,43.333333333333336,5,46.111111111111114
4,4,45.617283950617285,5,46.111111111111114
4,5,46.111111111111114,5,46.111111111111114
4,6,45.06172839506173,5,46.111111111111114
4,7,44.567901234567906,5,46.111111111111114
4,8,45.864197530864196,5,46.111111111111114
4,9,45.18518518518518,5,46.111111111111114
4,10,45.0,5,46.111111111111114
4,11,43.51851851851852,5,46.111111111111114
5,1,43.76543209876543,7,44.19753086419753
5,2,43.20987654320987,7,44.19753086419753
5,3,42.71604938271605,7,44.19753086419753
5,4,42.839506172839506,7,44.19753086419753
5,5,43.02469135802469,7,44.19753086419753
5,6,43.08641975308642,7,44.19753086419753
5,7,44.19753086419753,7,44.19753086419753
5,8,42.65432098765432,7,44.19753086419753
5,9,42.839506172839506,7,44.19753086419753
5,10,43.51851851851852,7,44.19753086419753
5,11,41.2962962962963,7,44.19753086419753
6,1,47.098765432098766,3,48.39506172839506
6,2,45.80246913580247,3,48.39506172839506
6,3,48.39506172839506,3,48.39506172839506
6,4,44.44444444444444,3,48.39506172839506
6,5,46.543209876543216,3,48.39506172839506
6,6,45.55555555555556,3,48.39506172839506
6,7,45.67901234567901,3,48.39506172839506
6,8,43.888888888888886,3,48.39506172839506
6,9,45.49382716049383,3,48.39506172839506
6,10,46.41975308641975,3,48.39506172839506
6,11,45.24691358024691,3,48.39506172839506
7,1,47.345679012345684,5,47.716049382716044
7,2,45.06172839506173,5,47.716049382716044
7,3,46.85185185185185,5,47.716049382716044
7,4,46.04938271604938,5,47.716049382716044
7,5,47.716049382716044,5,47.716049382716044
7,6,45.74074074074074,5,47.716049382716044
7,7,45.864197530864196,5,47.716049382716044
7,8,47.03703703703704,5,47.716049382716044
7,9,46.23456790123457,5,47.716049382716044
